"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Abs(sumDiff)"
42670.6424768518,51220,1.2,2,258,1.188889E-03,452
42670.6424907407,51232,1,2,259,1.111111E-03,447
42670.6425023148,51242,1.2,2,260,1.188889E-03,383
42670.6425162037,51254,1.1,2,261,.00115,504
42670.6425289352,51265,1.1,2,262,.00115,703
42670.6425416667,51276,1.1,2,263,.00115,471
42670.6425543981,51287,1.2,2,264,1.188889E-03,507
42670.642568287,51299,1.1,2,265,.00115,460
42670.6425810185,51310,1.3,2,266,1.227778E-03,352
42670.6425960648,51323,1.1,2,267,.00115,382
42670.6426087963,51334,1.2,2,268,1.188889E-03,494
42670.6426226852,51346,1.3,2,269,1.227778E-03,303
42670.6426377315,51359,2.9,2,270,.00185,502
42670.6426712963,51388,1.2,2,271,1.188889E-03,274
42670.6426851852,51400,1.6,2,272,1.344444E-03,406
42670.6427037037,51416,6.8,1,272,2.644445E-03,752
42670.6427824074,51484,.8,2,273,1.033333E-03,188
42670.6427916667,51492,1.3,2,274,1.227778E-03,232
42670.642806713,51505,1.2,2,275,1.188889E-03,211
42670.6428206019,51517,1.3,2,276,1.227778E-03,524
42670.6428356481,51530,1.5,2,277,1.305556E-03,611
42670.6428530093,51545,1,2,278,1.111111E-03,328
42670.6428645833,51555,1.2,2,279,1.188889E-03,311
42670.6428784722,51567,11.9,1,279,4.627778E-03,480
42670.6430162037,51686,2.1,2,280,1.538889E-03,186
42670.6430405093,51707,2.4,2,281,1.655556E-03,175
42670.643068287,51731,3.3,2,282,2.005555E-03,432
42670.6431064815,51764,8.6,1,282,3.344445E-03,670
42670.6432060185,51850,2.9,2,283,.00185,589
42670.6432395833,51879,1.2,2,284,1.188889E-03,464
42670.6432534722,51891,5.4,2,285,2.822222E-03,1078
42670.6433159722,51945,.9,1,285,.00035,121
42670.6433263889,51954,64.5,0,285,2.239583E-02,685
42670.6440729167,52599,11,1,285,4.277778E-03,980
42670.6442002315,52709,2.3,2,286,1.616667E-03,850
42670.6442268519,52732,1.9,2,287,1.461111E-03,234
42670.6442488426,52751,5.1,2,288,2.705555E-03,171
42670.6443078704,52802,2.1,2,289,1.538889E-03,277
42670.6443321759,52823,3.1,2,290,1.927778E-03,739
42670.6443680556,52854,1.5,2,291,1.305556E-03,316
42670.6443854167,52869,1.9,2,292,1.461111E-03,212
42670.6444074074,52888,12.9,1,292,5.016666E-03,1146
42670.644556713,53017,115.3,0,292,4.003472E-02,508
42670.6458912037,54170,1.6,1,292,6.222222E-04,261
42670.6459097222,54186,1.7,2,293,1.383333E-03,234
42670.6459293981,54203,20.9,1,293,8.127778E-03,415
42670.6461712963,54412,2,2,294,.0015,368
42670.6461944444,54432,1.7,2,295,1.383333E-03,172
42670.6462141204,54449,2.7,1,295,.00105,69
42670.6462453704,54476,249.6,0,295,8.666667E-02,1374
42670.6491342593,56972,2.2,1,295,8.555556E-04,248
42670.6491597222,56994,2.9,2,296,.00185,650
42670.649193287,57023,1.2,2,297,1.188889E-03,305
42670.6492071759,57035,1.3,2,298,1.227778E-03,311
42670.6492222222,57048,.8,2,299,1.033333E-03,184
42670.6492314815,57056,4.5,2,300,2.472222E-03,124
42670.6492835648,57101,3.4,2,301,2.044444E-03,254
42670.6493229167,57135,77.6,1,301,3.017778E-02,1875
42670.6502210648,57911,3.3,2,302,2.005555E-03,402
42670.6502592593,57944,70.3,1,302,2.733889E-02,1988
42670.6510729167,58647,2.6,2,303,1.733333E-03,744
42670.6511030093,58673,1.2,2,304,1.188889E-03,242
42670.6511168981,58685,1.3,2,305,1.227778E-03,397
42670.6511319444,58698,1.3,2,306,1.227778E-03,288
42670.6511469907,58711,1.2,2,307,1.188889E-03,302
42670.6511608796,58723,1.3,2,308,1.227778E-03,452
42670.6511759259,58736,1.2,2,309,1.188889E-03,341
42670.6511898148,58748,4.4,2,310,2.433333E-03,276
42670.6512407407,58792,2.6,2,311,1.733333E-03,151
42670.6512708333,58818,1.6,2,312,1.344444E-03,476
42670.6512893519,58834,1.5,2,313,1.305556E-03,373
42670.651306713,58849,2,2,314,.0015,399
42670.6513298611,58869,2.1,2,315,1.538889E-03,146
42670.6513541667,58890,.7,2,316,9.944445E-04,63
42670.6513622685,58897,19.7,1,316,7.661111E-03,306
42670.6515902778,59094,120.9,0,316,4.197917E-02,1092
42670.6529895833,60303,78,1,316,3.033333E-02,1162
42670.6538923611,61083,3.5,2,317,2.083333E-03,639
42670.6539328704,61118,3.6,2,318,2.122222E-03,398
42670.653974537,61154,1.3,2,319,1.227778E-03,261
42670.6539895833,61167,1.3,2,320,1.227778E-03,334
42670.6540046296,61180,2.4,2,321,1.655556E-03,506
42670.6540324074,61204,33.8,1,321,1.314444E-02,523
42670.6544236111,61542,59.6,0,321,2.069444E-02,507
42670.6551134259,62138,22.3,1,321,8.672222E-03,920
42670.6553715278,62361,1.9,2,322,1.461111E-03,140
42670.6553935185,62380,65.5,1,322,2.547222E-02,754
42670.6561516204,63035,.8,2,323,1.033333E-03,45
42670.6561608796,63043,1.6,2,324,1.344444E-03,236
42670.6561793981,63059,48.4,1,324,1.882222E-02,1123
42670.6567395833,63543,1.8,2,325,1.422222E-03,208
42670.6567604167,63561,1.4,2,326,1.266667E-03,219
42670.6567766204,63575,1.6,2,327,1.344444E-03,262
42670.6567951389,63591,2.5,2,328,1.694444E-03,452
42670.6568240741,63616,48.1,1,328,1.870555E-02,477
42670.657380787,64097,1.3,2,329,1.227778E-03,300
42670.6573958333,64110,15.3,1,329,.00595,522
