"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Abs(sumDiff)"
42444.9899259259,351406,1.1,2,326,.00115,485
42444.9899386574,351417,1.1,2,327,.00115,387
42444.9899513889,351428,1.1,2,328,.00115,373
42444.9899641204,351439,.9,2,329,1.072222E-03,279
42444.989974537,351448,1.1,2,330,.00115,395
42444.9899872685,351459,1.1,2,331,.00115,413
42444.99,351470,2.6,2,332,1.733333E-03,615
42444.9900300926,351496,.8,2,333,1.033333E-03,101
42444.9900393519,351504,1.3,2,334,1.227778E-03,350
42444.9900543981,351517,2.4,2,335,1.655556E-03,342
42444.9900821759,351541,257.6,1,335,.1001778,4526
42444.9930636574,354117,1.8,2,336,1.422222E-03,87
42444.9930844907,354135,11,1,336,4.277778E-03,485
42444.9932118056,354245,1.3,2,337,1.227778E-03,260
42444.9932268519,354258,1.1,2,338,.00115,260
42444.9932395833,354269,1.4,2,339,1.266667E-03,208
42444.993255787,354283,.9,2,340,1.072222E-03,320
42444.9932662037,354292,18.1,1,340,7.038889E-03,649
42444.9934756944,354473,4.4,2,341,2.433333E-03,318
42444.9935266204,354517,1.4,2,342,1.266667E-03,169
42444.9935428241,354531,1.3,2,343,1.227778E-03,243
42444.9935578704,354544,1.6,2,344,1.344444E-03,117
42444.9935763889,354560,3.3,2,345,2.005555E-03,320
42444.9936145833,354593,9.8,1,345,3.811111E-03,461
42444.9937280093,354691,1.3,2,346,1.227778E-03,211
42444.9937430556,354704,3.5,2,347,2.083333E-03,446
42444.9937835648,354739,2.4,2,348,1.655556E-03,527
42444.9938113426,354763,10.2,1,348,3.966666E-03,724
42444.9939293982,354865,1.2,2,349,1.188889E-03,305
42444.993943287,354877,1.2,2,350,1.188889E-03,296
42444.9939571759,354889,1,2,351,1.111111E-03,245
42444.99396875,354899,1,2,352,1.111111E-03,375
42444.9939803241,354909,1,2,353,1.111111E-03,502
42444.9939918981,354919,1,2,354,1.111111E-03,496
42444.9940034722,354929,1.1,2,355,.00115,353
42444.9940162037,354940,3.1,2,356,1.927778E-03,466
42444.9940520833,354971,4.5,2,357,2.472222E-03,616
42444.9941041667,355016,7.1,1,357,2.761111E-03,952
42444.9941863426,355087,4.6,2,358,2.511111E-03,639
42444.9942395833,355133,8.1,1,358,.00315,1125
42444.9943333333,355214,1,2,359,1.111111E-03,271
42444.9943449074,355224,2.8,2,360,1.811111E-03,276
42444.9943773148,355252,3.5,2,361,2.083333E-03,361
42444.9944178241,355287,77.1,1,361,2.998333E-02,3085
42444.9953101852,356058,1.4,2,362,1.266667E-03,229
42444.9953263889,356072,24.7,1,362,9.605556E-03,1479
42444.9956122685,356319,4,2,363,2.277778E-03,294
42444.9956585648,356359,75.6,1,363,.0294,1998
42444.9965335648,357115,1.4,2,364,1.266667E-03,276
42444.9965497685,357129,1.2,2,365,1.188889E-03,384
42444.9965636574,357141,1.1,2,366,.00115,244
42444.9965763889,357152,4.2,2,367,2.355556E-03,448
42444.996625,357194,1,2,368,1.111111E-03,130
42444.9966365741,357204,5.5,2,369,2.861111E-03,184
42444.9967002315,357259,12.3,1,369,4.783333E-03,802
42444.9968425926,357382,.7,2,370,9.944445E-04,255
42444.9968506945,357389,1.1,2,371,.00115,143
42444.9968634259,357400,1.4,2,372,1.266667E-03,404
42444.9968796296,357414,.7,2,373,9.944445E-04,250
42444.9968877315,357421,1.2,2,374,1.188889E-03,133
42444.9969016204,357433,3.4,2,375,2.044444E-03,435
42444.9969409722,357467,.9,2,376,1.072222E-03,241
42444.9969513889,357476,1.3,2,377,1.227778E-03,143
42444.9969664352,357489,4.5,2,378,2.472222E-03,480
42444.9970185185,357534,1.8,2,379,1.422222E-03,463
42444.9970393519,357552,4.4,2,380,2.433333E-03,223
42444.9970902778,357596,1.2,2,381,1.188889E-03,332
42444.9971041667,357608,.8,2,382,1.033333E-03,255
42444.9971134259,357616,1.1,2,383,.00115,214
42444.9971261574,357627,1.1,2,384,.00115,366
42444.9971388889,357638,1,2,385,1.111111E-03,315
42444.997150463,357648,1.1,2,386,.00115,217
42444.9971631944,357659,1.2,2,387,1.188889E-03,335
42444.9971770833,357671,1,2,388,1.111111E-03,199
42444.9971886574,357681,1.1,2,389,.00115,170
42444.9972013889,357692,1.1,2,390,.00115,326
42444.9972141204,357703,1.1,2,391,.00115,273
42444.9972268519,357714,1.3,2,392,1.227778E-03,277
42444.9972418981,357727,5.4,2,393,2.822222E-03,660
42444.9973043982,357781,1.6,2,394,1.344444E-03,337
42444.9973229167,357797,1.1,2,395,.00115,344
42444.9973356482,357808,1.1,2,396,.00115,421
42444.9973483796,357819,1.1,2,397,.00115,443
42444.9973611111,357830,4.8,2,398,2.588889E-03,584
42444.9974166667,357878,5.3,2,399,2.783333E-03,456
42444.9974780093,357931,1.4,2,400,1.266667E-03,214
42444.997494213,357945,1.2,2,401,1.188889E-03,287
42444.9975081019,357957,2,2,402,.0015,423
42444.99753125,357977,184.9,1,402,7.190555E-02,3915
42444.9996712963,359826,1.3,2,403,1.227778E-03,139
42444.9996863426,359839,25.8,1,403,1.003333E-02,531
42444.9999849537,360097,1.7,2,404,1.383333E-03,615
42445.0000046296,360114,1.1,2,405,.00115,239
42445.0000173611,360125,1.1,2,406,.00115,376
42445.0000300926,360136,1.2,2,407,1.188889E-03,184
42445.0000439815,360148,1.2,2,408,1.188889E-03,228
42445.0000578704,360160,1.6,2,409,1.344444E-03,162
42445.0000763889,360176,5,2,410,2.666667E-03,451
42445.0001342593,360226,146.4,1,410,5.693333E-02,1514
